,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,117.0,79.0,4.0
RSI,54.84,50.12,61.85,54.55
ROC,5.99,-0.14,15.07,6.32
ADOSC,1990767.07,29961.29,5009175.71,-269234.56
ATR,2.48,1.69,2.28,29.73
EMA,134.45,91.65,125.43,1564.45
Sharpe_ratio,0.68,0.13,1.51,0.64
average_returns,0.0,0.0,0.0,0.0
wtd_sentiment,0.12,0.13,0.1,0.19
label,0.43,0.0,1.0,2.0
