,Overall,KM_1,KM_2,KM_3
Seg_size,195.0,6.0,58.0,131.0
RSI,41.36,42.93,33.79,44.65
ROC,-26.08,-19.19,-50.63,-15.53
ADOSC,-419777.76,775087.96,-7013056.8,2444657.28
ATR,5.92,52.37,3.04,5.07
EMA,142.7,1372.08,60.59,122.75
Sharpe_ratio,-0.61,-0.56,-1.23,-0.34
average_returns,-0.0,-0.0,-0.01,-0.0
wtd_sentiment,0.04,0.06,0.04,0.04
label,1.64,0.0,1.0,2.0
