,Overall,KM_1,KM_2,KM_3
Seg_size,199.0,86.0,108.0,5.0
RSI,60.1,52.43,66.28,58.59
ROC,13.44,2.89,21.88,12.59
ADOSC,4340290.08,830946.41,7224566.31,2400634.94
ATR,2.73,2.05,2.05,28.97
EMA,127.73,88.84,103.53,1319.49
Sharpe_ratio,1.36,0.45,2.09,1.06
average_returns,0.0,0.0,0.0,0.0
wtd_sentiment,0.15,0.14,0.15,0.17
label,0.59,0.0,1.0,2.0
