,Overall,KM_1,KM_2,KM_3
Seg_size,198.0,74.0,118.0,6.0
RSI,50.78,43.66,55.14,53.01
ROC,-0.37,-11.37,6.25,5.05
ADOSC,679360.88,-2059754.42,2395278.35,715405.89
ATR,2.9,2.17,2.18,26.16
EMA,139.57,86.97,111.2,1346.13
Sharpe_ratio,0.22,-0.59,0.72,0.36
average_returns,0.0,-0.0,0.0,0.0
wtd_sentiment,0.1,0.1,0.1,0.12
label,0.66,0.0,1.0,2.0
