,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,105.0,91.0,4.0
RSI,42.7,37.43,48.78,42.35
ROC,-14.15,-24.13,-2.53,-16.34
ADOSC,-4083443.45,-7174777.91,-614454.68,-1855408.31
ATR,3.88,3.05,2.79,50.6
EMA,126.21,93.87,107.01,1411.91
Sharpe_ratio,-0.74,-1.36,-0.03,-0.79
average_returns,-0.0,-0.0,-0.0,-0.0
wtd_sentiment,0.11,0.1,0.11,0.16
label,0.49,0.0,1.0,2.0
