,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,82.0,114.0,4.0
RSI,53.13,59.84,48.15,57.58
ROC,5.24,15.98,-2.71,11.52
ADOSC,1654170.26,4580617.23,-466454.45,2099811.69
ATR,2.68,2.34,2.0,28.94
EMA,127.24,106.55,95.16,1465.5
Sharpe_ratio,0.5,1.3,-0.08,0.98
average_returns,0.0,0.0,-0.0,0.0
wtd_sentiment,0.1,0.1,0.09,0.14
label,0.61,0.0,1.0,2.0
