,Overall,KM_1,KM_2,KM_3
Seg_size,199.0,110.0,6.0,83.0
RSI,51.52,56.76,50.32,44.66
ROC,1.62,8.89,0.39,-7.93
ADOSC,404301.19,1853979.49,938876.23,-1555603.18
ATR,2.67,1.98,24.48,2.0
EMA,135.1,109.31,1287.98,85.93
Sharpe_ratio,0.31,0.9,0.12,-0.46
average_returns,0.0,0.0,0.0,-0.0
wtd_sentiment,0.11,0.11,0.12,0.12
label,0.86,0.0,1.0,2.0
